Automatically extracted tie points: 41
With finite NCC on both sides      : 41
VALID (NCC after > before)         : 41 (100%)
Mean NCC before -> after           : 0.294 -> 0.581
Mean match score (coastline NCC)   : 0.724
Shift magnitude px: min 8 mean 48 max 138

row  col   dx    dy   score  ncc_before ncc_after valid
 1300   550   +50    +0 0.922   +0.467    +0.818   Y
 1350   550   +53   -12 0.920   +0.584    +0.895   Y
 1300   600   +49    +1 0.899   +0.280    +0.768   Y
 1380   580   +50    -8 0.877   +0.404    +0.876   Y
 1350   500   +55   -13 0.867   +0.529    +0.758   Y
 1750  1400    +1   +15 0.837   +0.307    +0.464   Y
 1750  1350    +2   +13 0.832   +0.458    +0.606   Y
 1680  1430    +1   +18 0.819   +0.564    +0.646   Y
 1310   510   +50    -1 0.813   +0.402    +0.735   Y
 1260   560   +45   +20 0.812   +0.404    +0.753   Y
 1250   600   +42   +20 0.795   +0.275    +0.733   Y
 1350  1100  +100   +41 0.790   +0.444    +0.606   Y
 2200  1150    +9    +4 0.780   +0.396    +0.573   Y
 1720  1320    +4   +14 0.767   +0.597    +0.694   Y
 2160  1160    +9    +3 0.757   +0.505    +0.712   Y
 2050  2100   -51    -1 0.756   +0.141    +0.439   Y
 1270   520   +49   +14 0.750   +0.332    +0.634   Y
 2160  1210    +9    +3 0.743   +0.467    +0.687   Y
 2080  2030   -60    -2 0.742   +0.042    +0.525   Y
 2130  2030   -63    -4 0.729   +0.073    +0.606   Y
 2100  1150   +14    +3 0.728   +0.286    +0.487   Y
 2160  1260   +10    +2 0.722   +0.430    +0.642   Y
 2000  2050   -50    -1 0.720   +0.012    +0.217   Y
 2560  1860   -78   -20 0.698   +0.390    +0.643   Y
 2200  1200    +9    +4 0.697   +0.414    +0.616   Y
 2100  2100   -50    -6 0.689   +0.220    +0.562   Y
 2400  1900   -67   -20 0.689   -0.332    +0.562   Y
 2170  1120    +9    +4 0.685   +0.467    +0.634   Y
 2520  1870   -86   -40 0.654   +0.313    +0.577   Y
 1360  1060  +108   +52 0.643   +0.406    +0.599   Y
 2450  1900   -66   -24 0.639   -0.164    +0.400   Y
 2600  1850   -76   -19 0.626   +0.339    +0.579   Y
 1710  1460    -2   +24 0.621   +0.167    +0.296   Y
 2570  1820   -81   -44 0.614   +0.234    +0.521   Y
 2250  1200    +7    +4 0.612   +0.305    +0.419   Y
 1760  1310    +1   +14 0.611   +0.437    +0.535   Y
 2160  2060   -66    -6 0.606   +0.213    +0.577   Y
 1670  1470    +0   +28 0.604   +0.015    +0.109   Y
 2320  1820   -99   -24 0.552   -0.159    +0.631   Y
 2110  1260   +12    +3 0.542   +0.163    +0.292   Y
 1370  1020  +122   +65 0.530   +0.228    +0.388   Y
